Episode,Wins,Draws,Losses,Invalids,Mean Rewards,X_First
4000,2.9,1.7,28.1,67.3,-1.6,50.7
8000,11.1,10.7,24.6,53.6,-1.0,50.3
12000,25.3,45.0,10.3,19.4,0.5,49.6
16000,32.4,62.6,1.9,3.1,1.2,51.3
20000,36.1,59.2,1.8,2.9,1.2,50.6
24000,34.1,60.5,1.8,3.6,1.2,49.7
28000,34.8,60.3,1.8,3.1,1.2,49.7
32000,35.6,59.3,2.1,3.0,1.2,53.2
36000,36.2,59.1,1.6,3.1,1.2,49.9
40000,35.6,58.9,2.7,2.8,1.2,49.8
Min,2.9,1.7,1.6,2.8,-1.6,49.6
Max,36.2,62.6,28.1,67.3,1.2,53.2
Mean,28.4,47.7,7.7,16.2,0.6,50.5
